reference,prediction
ایران رتبه سوم بیشترین تعطیلی (بدون لحاظ آخر هفته) در جهان است</s>,ایران سومین کشور جهان با بیشترین روزهای تعطیل در سال است
خبر مربوط به احتکار آب معدنی جعل و به جای آن خبر احتکار واکسن شایعه شد.</s>,احتکار آب معدنی در سیستان و بلوچستان با فتوشاپ به واکسن تبدیل شده است
نگه‌داری و استفاده از استارلینک در ایران غیرقانونی نیست</s>,استفاده از استارلینک در ایران غیرقانونی نیست
شهر سانفرانسیسکو به‌دلیل سفر رئیس‌جمهور چین، با هزینه ۵۳ میلیون دلار بازسازی شد</s>,سانفرانسیسکو: مقامات شهر برگزاری نشست سران سازمان همکاری آسیا-پاسیفیک اقدام به نظافت شهر و جمع‌آوری بی‌خانمان‌ها از سطح این شهر کرده‌اند
امارات سالیانه ۲.۵ میلیون لیتر آب آشامیدنی از هوا تولید می‌کند</s>,امارات موفق به تولید 2.5 میلیون لیتر آب آشامیدنی از رطوبت هوا در سال بوده است
پروفسور علیرضا زالی در ۲۲ ماه گذشته لابلای «فرماندهی مدیریت کرونا تهران» و «ریاست دانشگاه علوم پزشکی شهید بهشتی» حدود ۸۰ مقاله هم منتشر کرده‌اند!</s>,در سال 2019 تا 2021 دکتر علیرضا زالی 87 مقاله را به تفکیک موضوع و سال انتشار منتشر کرده است
۱۰درصد مردم دنیا فقیر اند و به گفته اکونومیست، یک سوم ایرانیان جزو این گروه‌اند</s>,حدود ۱۰ درصد مردم دنیا فقیراند و با روزانه ۲ دلار یا کمتر زندگی را می‌گذرانند
افراد برای پناهدگی آلمان باید مسیحی شوند و در کلیسا غسل تعمید داده شوند</s>,ایرانی‌های پناهنده در آلمان دین خود را تغییر می‌دهند تا اقامت بگیرند
در ۱۵۰ سال گذشته هیچ استیضاحی در آمریکا نشده؛ اما در ۲۳ سال ۲۰ استیضاح در ایران شده است</s>,در 23 سال گذشته ۱۹ وزیر استیضاح شده در ایران و در آمریکا برکناری اتفاق نیفتاده است
آمریکا قانون جدیدی مبنی‌بر منع استفاده شبانه افراد زیر ۱۸ سال از شبکه‌های اجتماعی وضع کرده است</s>,یوتا قانون جدید برای استفاده شبانه افراد زیر ۱۸ سال از شبکه‌های اجتماعی در ایالت یوتا قرار گرفت
ایران به جمع پنج کشور دارای فناوری جداسازی هوا پیوست</s>,ایران در مسیر پیوستن به ۵ کشور دارای فناوری جداسازی هوا
قالیباف: افزایش حقوق متناسب با تورم یک قانون است، اما در برنامه ششم آن‌ را متوقف کردند</s>,برنامه ششم توسعه حقوق متناسب با تورم در برنامه قانون مدیریت خدمات کشوری قرار گرفت
نایب‌رئیس امارات برای انتخاب وزیر جوانان آگهی استخدام منتشر کرد</s>,حاکم دبی برای وزیر جوانان امارات را انتخاب می کند
رحیم مشایی در شمال کشور و دور از مردم زندگی می‌کند و حمید بقایی به بیماری عصبی دچار شده است.</s>,رحیم مشاعی و حمید بقایی هر دو آزاد هستند و یکی در شمال کشور و در تنهایی مشغول زندگی است و دیگری دچار بیماری عصبی شده است
حسینی‌کیا، نماینده مجلس، به نقل از آیت‌الله مصباح یزدی گفته که رئیسی نظرکرده امام زمان است.</s>,ادعای رسانه های ایران از مصباح یزدی به بنده شخصا چهار بار با واسطه از منبع موثق شنیده اند
جلیلی با بورس مخالف است</s>,بورس ریاست جمهوری ۱۴۰۰ با رئیس جمهور شدن جلیلی مخالف است
واگذاری کوه‌های آرارات به ترکیه در زمان رضاشاه موجب ایجاد مرز زمینی بین ترکیه و نخجوان شد</s>,رضاشاه باعث ایجاد مرز زمینی بین ترکیه و نخجوان شده
مجازات قتل فرزند توسط پدر، سه تا ۱۰ سال حبس؛ اما مجازات قتل فرزند توسط مادر، قصاص است</s>,پدر قصاص نمی‌شود، مادر قصاص می‌شود
فقط ۸ درصد ظرفیت سد کرج آب دارد و نسبت به پارسال، آب آن 55 درصد کاهش پیدا کرده است</s>,سد کرج ۵۵ درصد کمتر از سال گذشته ذخیره آب دارد
چین، سومین شریک تجاری آمریکا است و سهم بیشتری از اتحادیه اروپا در تجارت با این کشور دارد</s>,چین بعد از کانادا و مکزیک، بیشترین حجم تجارت را با آمریکا دارد
بازداشت فرمانده انتظامی انزلی به اتهام قتل «مهران سماک»</s>,فرمانده انتظامی انزلی در حال بررسی است
دولت برای جبران کسری بودجه، برخی از مدارس خیرساز را در لیست مولدسازی خود قرار داده است</s>,دولت در لیست فروش مدارس خیرساز قرار می‌داده و این امر به سلب اعتماد خیرین می‌شود
رونالدو، نیمار و بنزما برای مسابقات فوتبال به ایران نمی‌آیند</s>,بازی در زمین بی‌طرف بین تیم‌های فوتبال ایران و عربستان را لغو کرد
سالیانه ۳۵۰هزار دختر زیر ۱۸ سال در آمریکا باردار می‌شوند</s>,در آمریکا ۳۵۰‌هزار بارداری ناخواسته در دختران زیر ۱۸ سال
مردم اروپا به دلیل افزایش دوساله سن بازنشستگی، اعتراض و اعتصاب کردند</s>,افزایش سن بازنشستگی در اروپا اعتراضات و اعتصابات گسترده روبرو شده است
زاکانی: طبق دیدگاه امام خمینی حاکمیت حق دخالت در حریم شخصی را ندارد</s>,امام خمینی: حق دخالت در حریم شخصی را ندارد
بن‌سلمان برای ماه رمضان قوانین جدیدی وضع کرده از جمله صدای بلندگوهای مساجد کم باشد، ورود کودکان به مساجد ممنوع شود، پخش سخنرانی امامان جماعت از تلوریون ممنوع شود و&#8230;</s>,دستور جدید بن سلمان برای ماه رمضان: صدای بلندگوی مساجد کم باشد، ورود کودکان ممنوع است، پخش تلویزیونی نمازهای تراویح ممنوع است، پخش تلویزیونی امامان مساجد ممنوع است، کمک مالی به مساجد و برگزاری افطاری دسته‌جمعی ممنوع است، امام جماعت باید هویت سعودی معتکفین را تایید کند، کسانی که سعودی نباشند باید کفیل معتمد سعودی داشته باشند، برپایی خیمه یا مکان موقت و تجمع برای افطار ممنوع است، ورود کودکان به مساجد باعث مزاحمت می‌ شود؛ فلذا باید از ورود کودکان جلوگیری شود، خادمان مساجد و دیگر موسسات موظف هستند برای آماده‌سازی مساجد تلاش مضاعف داشته‌ باشند، ناظران باید اجرای این بخشنامه‌ها را پیگیری کنند و گزارشات روزانه را به مراجع مربوط انتقال دهند.
وزیر علوم گفته است که به دلیل آثار مخرب روحی و روانی با متقلبین کنکور برخورد نمی‌شود</s>,دانشجویان متقلب کنکور شناخته شده و هم اکنون دانشجو هستند
هر ایرانی از سال ۱۳۹۰ تا ۱۴۰۲، به‌دلیل تحریم‌ها حدود ۴۲۸ دلار در سال از دست داده است</s>,درآمد سرانه مردم ایران در سال 1402 به نسبت سال 1390 حدود 3500 دلار کاهش پیدا کرده است
معاون شهردار تهران گفته است که شهر تهران کمتر از ۱۰ هزار خانه خالی دارد</s>,تعداد خانه های خالی در شهر تهران ۱۰ هزار واحد است
تولید ناخالص داخلی استانبول از ایران بیشتر و مقدار تولید ناخالص داخلی ترکیه و کره جنوبی به ترتیب ۱۰ و ۲۷ برابر شده‌است</s>,ادعای کاربر در شبکه اجتماعی ایکس: تولید ناخالص داخلی استانبول بیشتر است و ترکیه و کره جنوبی در چهل و سه سال توانستند تولید ناخالص خود را به ترتیب ۱۰ و ۲۷ برابر کنند
نایب رئیس کمیسیون کشاورزی مجلس: عربستان بزرگ‌ترین صادرکننده گندم جهان شده است</s>,عربستان سعودی بزرگ‌ترین صادرکننده گندم جهان نمی‌شود
جلیلی: ما می‌توانیم به روسیه ۱۱ میلیارد دلار صیفی‌جات صادر کنیم</s>,روسیه ۱۱ میلیارد دلار صیفی‌جات صادر می‌کند و امکان کشت آنها در ایران وجود ندارد
برای تامین آب در صنعت می‌توان از پساب استفاده کرد</s>,استفاده از پساب در صنعت به راحتی امکان پذیر است
در حالی که دولت ایران طالبان را جنبش اصیل منطقه نامیده بود اکنون می­‌گوید به رسمیت نمی­‌شناسد</s>,تعاملات دولت ایران با طالبان دفاکتو است
بانک جهانی به دلیل قانون ضدهمجنس‌گرایی اوگاندا به این کشور کمک مالی نمی‌کند</s>,بانک جهانی به دلیل قانون ضدهمجنس‌گرایی اوگاندا، کمک مالی به این کشور را متوقف کرده است
نرخ رشد گردشگری در ایران در سال‌های پسا کرونا، سه برابر میانگین نرخ رشد گردشگری در جهان بوده است￼</s>,رشد گردشگری در ایران بیش از جهان بوده است
سنوات بازنشستگی دوسال افزایش یافت</s>,بند د تبصره ۲۰ لایحه بودجه ۱۴۰۲ برای بازنشستگی در صورت اعلام نیاز دستگاه و رضایت مستخدم بدون رعایت شرط سنی به مدت دوسال افزایش می‌یابد
دانش‌آموزان موظف‌اند فایل صدای نماز خواندنشان را به مدرسه ارائه کنند</s>,دانش‌آموزان باید یک فایل صحیح‌خوانی از نماز خود بارگذاری کنند
تعداد شهدای غزه در ۸۰ روز اخیر، معادل تعداد شهدای استان تهران در ۸ سال جنگ تحمیلی است</s>,تعداد شهدای جنگ غزه در ۸۰ روز به تعداد شهدای تهران در ۸ سال جنگ نزدیک شده است
آرامکو با سود سه ماهه‌اش می‌تواند کل شرکت‌های خلیج فارس، ایران‌خودرو، سایپا، پالایشگاه اصفهان، بانک ملت، فولاد مبارکه و بانک صادرات را بخرد</s>,آرامکو با سود سه ماهه از ۳۲.۱۶ میلیارد دلار به دست می‌آید و به دلیل ارزش بازار بورس گروه‌های صنعتی در ۱۵ دی، تمامی شرکت‌های هلدینگ خلیج فارس، ایران‌خودرو، سایپا، پالایشگاه نفت اصفهان، بانک ملت، فولاد مبارکه اصفهان و بانک صادرات را خریداری کند
بلومبرگ گزارش داده است که ایران اقتصاد تریلیون دلاری خود را به‌عنوان فرصت سرمایه‌گذاری به ترامپ پیشنهاد کرده است</s>,ایران پیشنهاد تریلیون دلار سرمایه به آمریکا را به عنوان فرصت اقتصادی قرار می‌دهد
صندوق بین‌المللی پول، قیمت دلار را ۱۴ هزار و ۷۰۰ تومان اعلام کرده‌است</s>,صندوق بین المللی پول: قیمت دلار ۱۴ هزار و ۷۰۰ تومان
پس از اعمال تعرفه‌های ترامپ ۵.۴ میلیارد دلار وارد بازار کریپتو شد، ۳.۲۵ تریلیون دلار از ارزش بازار سهام آمریکا کم شد</s>,بازار سهام آمریکا ۳.۲۵ تریلیون دلار خارج می شود، بازار رمزارز ۵.۴ میلیارد دلار ورود می کند
همتی درباره مسئله FATF  و تاثیر آن بر مبادلات اقتصادی تناقض‌گویی دارد.</s>,رئیس بانک مرکزی در پاسخ به جلیل محبی درباره FATF: ایران برود در لیست سیاه نخواهد داشت
كارمندان پیامرسان بله به محتوای گروه‌های چت کاربران دسترسی دارند</s>,تصویر منتشر شده از مانیتورینگ مخاطبان بله تایید شد
جلیلی: تورم در زمان رئیسی از زمان روحانی کمتر شد</s>,رئیسی زمان روحانی تورم در زمان رئیسی کمتر شد
رئیس بانک مرکزی انگلستان از طریق انتشار آگهی استخدام و مصاحبه انتخاب می­‌شود</s>,انتخاب رئیس بانک مرکزی با روندی همان روندی است که موسی غنی‌نژاد گفته است
فروش اکثر بلیت‌های هواپیمای‌ ایرانی به آژانس‌های عراقی واگذار شده است</s>,عمده صندلی هواپیمایان ایرانی به دلار فروخته شده است
آمارمیانگین مصرف برق خانگی ایران از میانگین مصرف جهانی کمتر است</s>,کاربر در شبکه اجتماعی ایکس ادعا کرده است که مصرف برق خانگی جهانی برابر با 1192.8 کیلووات ساعت و مصرف برق در ایران حدود 1022 کیلووات ساعت است
